id,User_ID,Cust_name,Product_ID,Gender,Age Group,Age,State,Zone,Occupation,Product_Category,Orders,Amount,Shaadi,age_group2
63,1004957,Inderpreet,P00111842,Male,26-35,27,Jharkhand,Eastern,Govt,Auto,1,23285,Yes,26-35
64,1005649,Sweta,P00238542,Male,18-25,20,Delhi,Central,Media,Auto,1,23281,Yes,18-25
65,1000053,Howell,P00120442,Female,26-35,33,Karnataka,Southern,Aviation,Footwear & Shoes,4,20677,Yes,26-35
66,1004508,Phonely,P00048742,Female,26-35,32,Andhra Pradesh,Southern,Aviation,Auto,1,23270,No,26-35
67,1002511,Ananya,P00148642,Male,26-35,34,Kerala,Southern,Chemical,Furniture,1,20677,No,26-35
68,1004377,Sibella,P00298942,Male,26-35,26,Karnataka,Southern,Retail,Footwear & Shoes,3,20676,No,26-35
69,1005481,Wale,P00277642,Female,46-50,46,Maharashtra,Western,Govt,Furniture,1,20673,No,46-50
70,1002520,Mike,P00310342,Male,55+,72,Himachal Pradesh,Northern,Media,Auto,4,23267,Yes,55+
71,1003940,Kritika,P00159442,Female,36-45,36,Karnataka,Southern,Automobile,Footwear & Shoes,1,20669,Yes,36-45
72,1003111,Dean,P00249542,Female,18-25,25,Andhra Pradesh,Southern,Banking,Auto,4,23252,Yes,18-25
73,1000687,Neola,P00344542,Male,26-35,26,Delhi,Central,Chemical,Tupperware,4,20668,No,26-35
74,1000687,Neola,P00156442,Male,26-35,35,Kerala,Southern,Aviation,Auto,1,23247,No,26-35
75,1003267,Trupti,P00144242,Male,26-35,30,Uttar Pradesh,Central,Banking,Hand & Power Tools,2,23246,Yes,26-35
76,1001182,Zypern,P00122442,Male,0-17,16,Andhra Pradesh,Southern,Food Processing,Auto,4,23239,No,0-17
77,1000889,Parth,P00021842,Female,46-50,50,Delhi,Central,Lawyer,Footwear & Shoes,1,20668,Yes,46-50
78,1000167,Brooke,P00322142,Male,26-35,32,Maharashtra,Western,Food Processing,Furniture,2,20666,No,26-35
79,1004972,Barcio,P00249542,Female,36-45,38,Karnataka,Southern,Banking,Footwear & Shoes,3,20665,No,36-45
80,1005383,Ellison,P0096942,Female,36-45,40,Andhra Pradesh,Southern,Aviation,Auto,2,23201,No,36-45
81,1003094,Pelletier,P00223642,Female,36-45,41,Karnataka,Southern,Retail,Footwear & Shoes,1,20664,Yes,36-45
82,1004303,Jane,P00201442,Female,26-35,35,Andhra Pradesh,Southern,Aviation,Auto,2,23185,Yes,26-35
83,1005493,Stewart,P00036242,Male,36-45,45,Andhra Pradesh,Southern,Agriculture,Hand & Power Tools,3,23160,Yes,36-45
84,1000157,Michelle,P00117842,Female,36-45,43,Karnataka,Southern,Automobile,Footwear & Shoes,3,20661,No,36-45
85,1001015,Bharat,P00109842,Male,36-45,40,Delhi,Central,Food Processing,Footwear & Shoes,3,20660,No,36-45
86,1003468,Divyansh,P00059442,Female,26-35,26,Delhi,Central,IT Sector,Footwear & Shoes,2,20659,Yes,26-35
87,1000728,Breyer,P00113942,Female,26-35,28,Andhra Pradesh,Southern,Banking,Auto,1,23154,No,26-35
88,1002966,Jesslyn,P00121642,Male,26-35,32,Delhi,Central,Construction,Auto,3,23103,Yes,26-35
89,1002251,Raglin,P00337442,Female,36-45,36,Delhi,Central,Media,Footwear & Shoes,1,20659,Yes,36-45
90,1001726,Abhijit,P00105042,Female,26-35,32,Andhra Pradesh,Southern,Retail,Auto,4,23066,No,26-35
91,1005014,Kajal,P00122442,Female,46-50,50,Karnataka,Southern,IT Sector,Tupperware,1,20659,No,46-50
92,1001404,Vineet,P00141842,Female,51-55,53,Andhra Pradesh,Southern,IT Sector,Auto,2,23053,No,51-55
93,1005267,Elizabeth,P00115342,Female,36-45,43,Andhra Pradesh,Southern,IT Sector,Auto,3,23047,Yes,36-45
94,1003085,Natalie,P00267542,Female,26-35,32,Delhi,Central,IT Sector,Footwear & Shoes,4,20657,No,26-35
95,1003745,Shivani,P00220042,Male,26-35,29,Haryana,Northern,IT Sector,Stationery,2,21563,No,26-35
96,1004112,Mrunal,P00190242,Female,46-50,47,Delhi,Central,Hospitality,Footwear & Shoes,3,20654,Yes,46-50
97,1002592,Nikita,P00356842,Female,51-55,51,Maharashtra,Western,Media,Tupperware,2,20644,No,51-55
98,1001298,Siddharth,P00349142,Female,36-45,36,Uttar Pradesh,Central,Construction,Footwear & Shoes,1,20642,No,36-45
99,1001884,Eugene,P00339042,Female,46-50,47,Delhi,Central,Textile,Stationery,1,21547,No,46-50
100,1002537,Cindy,P00359242,Male,36-45,42,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,4,20641,Yes,36-45
101,1001804,Ishit,P00000642,Female,26-35,35,Delhi,Central,Lawyer,Stationery,1,21533,No,26-35
102,1000971,Savi,P00016542,Female,26-35,32,Uttar Pradesh,Central,Retail,Footwear & Shoes,1,20628,Yes,26-35
103,1005359,Schwarz,P00302742,Female,18-25,22,Delhi,Central,Media,Stationery,1,21503,Yes,18-25
104,1001103,Yaanvi,P00334242,Male,46-50,48,Delhi,Central,IT Sector,Tupperware,1,20627,No,46-50
105,1000151,Sujay,P00150342,Male,26-35,34,Karnataka,Southern,IT Sector,Stationery,2,21495,Yes,26-35
106,1003081,Kalyani,P00218642,Female,26-35,32,Uttarakhand,Central,Food Processing,Furniture,1,20623,No,26-35
107,1001389,Smriti,P00261542,Female,26-35,33,Delhi,Central,Agriculture,Stationery,3,21463,Yes,26-35
108,1002164,McCrossin,P00110942,Male,36-45,41,Himachal Pradesh,Northern,Banking,Furniture,4,20622,No,36-45
109,1002665,Champaklata,P00261842,Female,36-45,36,Delhi,Central,IT Sector,Stationery,4,21427,No,36-45
110,1003635,Calhoun,P00273042,Female,51-55,54,Delhi,Central,Retail,Footwear & Shoes,4,20620,No,51-55
111,1002496,Patil,P00114042,Female,51-55,52,Delhi,Central,IT Sector,Stationery,4,21423,No,51-55
112,1001030,Selesnick,P00162442,Female,26-35,33,Karnataka,Southern,Chemical,Footwear & Shoes,4,20619,No,26-35
113,1001442,Atharv,P00145042,Male,18-25,18,Delhi,Central,Construction,Stationery,2,21401,Yes,18-25
114,1001029,Parakh,P00317842,Female,26-35,30,Karnataka,Southern,Lawyer,Footwear & Shoes,3,20615,No,26-35
115,1000379,Thais,P00121642,Male,36-45,39,Maharashtra,Western,Healthcare,Stationery,3,21397,No,36-45
116,1003311,Neola,P00180442,Female,26-35,29,Delhi,Central,IT Sector,Footwear & Shoes,3,20608,No,26-35
117,1003916,Surabhi,P00003242,Male,26-35,34,Delhi,Central,Agriculture,Stationery,4,21388,Yes,26-35
118,1003416,Vaibhavi,P00100642,Female,26-35,27,Uttarakhand,Central,Media,Furniture,4,20608,Yes,26-35
119,1001687,Bruce,P00265242,Female,26-35,33,Maharashtra,Western,Govt,Stationery,4,21325,No,26-35
120,1004573,Cari,P00071442,Male,51-55,51,Haryana,Northern,Aviation,Furniture,4,20607,Yes,51-55
121,1000423,Saurabh,P00046742,Male,18-25,21,Delhi,Central,Automobile,Stationery,2,21320,No,18-25
122,1002395,Vaibhavi,P00220342,Female,36-45,38,Delhi,Central,Aviation,Stationery,2,21317,Yes,36-45
123,1004728,Larry,P00037042,Female,26-35,28,Delhi,Central,IT Sector,Stationery,4,21293,No,26-35
124,1004179,Sink,P00100842,Male,36-45,43,Karnataka,Southern,Textile,Furniture,1,20607,Yes,36-45
125,1005054,Parhena,P0096542,Female,36-45,37,Delhi,Central,Hospitality,Stationery,1,21266,No,36-45
126,1005661,Geld,P00148042,Male,26-35,31,Maharashtra,Western,Healthcare,Tupperware,1,20606,No,26-35
127,1001736,Martinez,P00227942,Male,55+,72,Uttar Pradesh,Central,Textile,Footwear & Shoes,2,20603,Yes,55+
128,1003401,Ameesha,P00120342,Female,36-45,39,Maharashtra,Western,IT Sector,Footwear & Shoes,2,20602,No,36-45
129,1004489,Pete,P00216742,Male,18-25,20,Delhi,Central,Construction,Stationery,1,21259,No,18-25
130,1001835,Jamie,P00180642,Female,26-35,31,Karnataka,Southern,Aviation,Footwear & Shoes,4,20600,No,26-35
131,1001865,Cyra,P00213742,Male,18-25,23,Kerala,Southern,Media,Stationery,2,21246,Yes,18-25
132,1003022,Rozendal,P00130742,Female,26-35,34,Delhi,Central,Banking,Stationery,4,21218,No,26-35
133,1002899,McCarthy,P00193642,Male,36-45,42,Karnataka,Southern,Automobile,Footwear & Shoes,1,20600,Yes,36-45
134,1001657,Jack,P00248442,Male,46-50,49,Andhra Pradesh,Southern,Govt,Stationery,2,21178,No,46-50
135,1002860,Chad,P00033942,Female,36-45,40,Delhi,Central,IT Sector,Footwear & Shoes,1,20598,No,36-45
136,1003751,Victor,P00129542,Male,36-45,38,Karnataka,Southern,Media,Stationery,1,21178,Yes,36-45
137,1004362,Prichep,P00015742,Female,26-35,26,Karnataka,Southern,Chemical,Footwear & Shoes,3,20598,Yes,26-35
138,1000179,Debra,P00261642,Female,26-35,30,Delhi,Central,Aviation,Stationery,4,21152,No,26-35
139,1001147,Lanier,P00296642,Female,26-35,27,Kerala,Southern,IT Sector,Tupperware,3,20598,No,26-35
140,1004953,Sukrith,P00015542,Female,36-45,39,Kerala,Southern,Healthcare,Furniture,3,20595,No,36-45
141,1000438,Bhosale,P00182542,Female,18-25,25,Madhya Pradesh,Central,IT Sector,Tupperware,2,21079,No,18-25
142,1003618,Keshav,P00248942,Male,18-25,19,Maharashtra,Western,Media,Tupperware,1,21058,Yes,18-25
143,1005884,Elliston,P00112542,Female,18-25,25,Kerala,Southern,Banking,Furniture,2,20594,Yes,18-25
144,1002765,Bergman,P00127942,Female,51-55,55,Madhya Pradesh,Central,Aviation,Footwear & Shoes,2,20589,No,51-55
145,1003415,Arsheen,P00152742,Male,36-45,42,Delhi,Central,Hospitality,Stationery,1,21039,No,36-45
146,1002485,Kaydos,P00302342,Female,36-45,38,Gujarat,Western,Media,Tupperware,3,21013,Yes,36-45
147,1005140,Arthur,P00157642,Female,26-35,29,Delhi,Central,Healthcare,Footwear & Shoes,1,20588,No,26-35
148,1001495,Fjeld,P00064042,Female,18-25,21,Delhi,Central,IT Sector,Stationery,4,21009,Yes,18-25
149,1004161,Murray,P00265242,Female,46-50,50,Uttar Pradesh,Central,Banking,Furniture,1,20588,Yes,46-50
150,1003697,Toch,P00250342,Female,26-35,30,Delhi,Central,Banking,Footwear & Shoes,4,20586,No,26-35
151,1004607,Turumella,P00173342,Male,26-35,35,Delhi,Central,Govt,Stationery,4,20981,No,26-35
152,1005316,Vernon,P00278642,Female,18-25,24,Kerala,Southern,Govt,Tupperware,4,20967,Yes,18-25
153,1002041,Dahlen,P00115142,Male,26-35,31,Madhya Pradesh,Central,Banking,Furniture,3,20586,Yes,26-35
154,1000461,Connell,P00142942,Male,51-55,52,Himachal Pradesh,Northern,Healthcare,Stationery,2,20965,Yes,51-55
155,1003726,Randy,P00274042,Female,26-35,34,Karnataka,Southern,Lawyer,Footwear & Shoes,2,20581,Yes,26-35
156,1000154,Shami,P00306042,Female,51-55,53,Karnataka,Southern,Textile,Footwear & Shoes,4,20965,Yes,51-55
157,1000749,Flanagan,P00114342,Female,36-45,37,Uttar Pradesh,Central,Lawyer,Footwear & Shoes,2,20963,Yes,36-45
158,1001803,Pradeep,P00249642,Female,26-35,33,Maharashtra,Western,Chemical,Footwear & Shoes,2,20579,Yes,26-35
159,1005814,Aayushi,P00113442,Male,26-35,30,Karnataka,Southern,IT Sector,Furniture,4,20573,Yes,26-35
160,1004901,Aparajita,P00120242,Female,26-35,29,Delhi,Central,Banking,Footwear & Shoes,4,20572,No,26-35
161,1006040,Pond,P00271242,Female,26-35,28,Delhi,Central,IT Sector,Footwear & Shoes,1,20960,Yes,26-35
162,1001284,O'Brian,P00157142,Male,46-50,50,Karnataka,Southern,Banking,Footwear & Shoes,3,20960,No,46-50
163,1003958,Arsheen,P0096942,Female,46-50,49,Karnataka,Southern,Healthcare,Footwear & Shoes,3,20570,No,46-50
164,1003563,Becky,P00249842,Female,26-35,34,Kerala,Southern,Healthcare,Furniture,4,20570,No,26-35
165,1004269,Namrata,P00345242,Female,36-45,40,Delhi,Central,Lawyer,Footwear & Shoes,1,20959,No,36-45
166,1001496,Haushalter,P00067942,Female,26-35,35,Madhya Pradesh,Central,Chemical,Footwear & Shoes,1,20955,Yes,26-35
167,1002793,Aniket,P00207742,Female,36-45,42,Maharashtra,Western,Govt,Tupperware,3,20569,Yes,36-45
168,1003283,Gute,P00233542,Male,36-45,38,Delhi,Central,Textile,Footwear & Shoes,3,20566,Yes,36-45
169,1003007,Maurice,P00191942,Female,36-45,45,Delhi,Central,Banking,Stationery,4,20951,No,36-45
170,1001941,Gopal,P00184942,Male,36-45,26,Delhi,Central,Chemical,Footwear & Shoes,4,20559,Yes,26-35
171,1004715,Snel,P00217442,Female,26-35,35,Delhi,Central,Food Processing,Footwear & Shoes,3,20950,No,26-35
172,1000306,Patrick,P00303242,Female,18-25,18,Maharashtra,Western,Aviation,Tupperware,3,20949,No,18-25
173,1004279,Soumya,P00032142,Female,26-35,28,Uttar Pradesh,Central,Banking,Furniture,1,20558,Yes,26-35
174,1000855,Sung,P00240042,Male,18-25,22,Delhi,Central,Automobile,Footwear & Shoes,3,20948,No,18-25
175,1001181,Cathy,P00278642,Female,36-45,40,Delhi,Central,Media,Footwear & Shoes,1,20553,Yes,36-45
176,1001183,Mahima,P00084842,Female,36-45,43,Delhi,Central,Aviation,Footwear & Shoes,4,20945,Yes,36-45
177,1003211,Jason,P00211242,Male,51-55,54,Gujarat,Western,Construction,Furniture,4,20550,No,51-55
178,1000216,Gjertsen,P00323042,Female,46-50,47,Delhi,Central,Aviation,Footwear & Shoes,2,20549,Yes,46-50
179,1003618,Keshav,P00233442,Male,18-25,19,Bihar,Eastern,Aviation,Footwear & Shoes,2,20548,No,18-25
180,1005954,Charlotte,P00156242,Female,46-50,48,Karnataka,Southern,Automobile,Footwear & Shoes,2,20944,Yes,46-50
181,1005627,Anubhaw,P00123142,Male,26-35,28,Delhi,Central,IT Sector,Stationery,1,20943,No,26-35
182,1002165,Black,P00260442,Female,26-35,31,Delhi,Central,IT Sector,Footwear & Shoes,1,20938,Yes,26-35
183,1004354,Zydlo,P00153142,Female,36-45,41,Delhi,Central,Govt,Footwear & Shoes,3,20547,No,36-45
184,1004416,Airdo,P00213742,Female,18-25,23,Uttar Pradesh,Central,Construction,Footwear & Shoes,2,20933,No,18-25
185,1000793,Staavos,P00068042,Male,36-45,41,Karnataka,Southern,Healthcare,Furniture,1,20546,No,36-45
186,1000850,Bhawna,P00319942,Female,36-45,44,Uttar Pradesh,Central,Lawyer,Footwear & Shoes,3,20932,No,36-45
187,1002888,Corey-Lock,P00255842,Female,26-35,34,Andhra Pradesh,Southern,Automobile,Tupperware,2,20930,No,26-35
188,1003690,Fein,P0099242,Female,18-25,24,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,4,20544,No,18-25
189,1004122,Aastha,P00118142,Female,18-25,23,Kerala,Southern,Hospitality,Furniture,1,20543,No,18-25
190,1003503,Lloyd,P00344842,Female,18-25,25,Madhya Pradesh,Central,Govt,Furniture,3,20540,No,18-25
191,1001891,Akin,P00192542,Female,46-50,46,Uttar Pradesh,Central,Chemical,Footwear & Shoes,1,20929,No,46-50
192,1002852,Harshita,P00123142,Female,26-35,29,Delhi,Central,Media,Footwear & Shoes,2,20537,No,26-35
193,1001019,Neil,P00259142,Female,36-45,43,Delhi,Central,Govt,Footwear & Shoes,2,20928,Yes,36-45
194,1002306,Lisha,P00084242,Male,18-25,21,Jharkhand,Eastern,Textile,Footwear & Shoes,3,20925,Yes,18-25
195,1001004,Kirkland,P00036342,Male,26-35,34,Delhi,Central,Retail,Footwear & Shoes,1,20536,No,26-35
196,1001179,Amlan,P00208742,Male,51-55,54,Delhi,Central,IT Sector,Footwear & Shoes,3,20920,No,51-55
197,1000390,Trafton,P00319042,Male,26-35,29,Haryana,Northern,Automobile,Footwear & Shoes,4,20536,No,26-35
198,1004957,Inderpreet,P00163442,Female,26-35,34,Delhi,Central,Healthcare,Footwear & Shoes,1,20914,Yes,26-35
199,1003099,Shahid,P00127542,Female,26-35,26,Karnataka,Southern,Aviation,Footwear & Shoes,2,20536,No,26-35
200,1002201,Dodson,P00127642,Female,55+,83,Madhya Pradesh,Central,Govt,Furniture,1,20533,Yes,55+
201,1004079,Fisher,P00284742,Female,36-45,44,Uttar Pradesh,Central,Agriculture,Footwear & Shoes,2,20914,Yes,36-45
202,1002271,Redmond,P00193542,Female,51-55,55,Gujarat,Western,Aviation,Tupperware,1,20529,No,51-55
203,1002124,Linda,P00369042,Female,26-35,29,Karnataka,Southern,Retail,Footwear & Shoes,3,20912,No,26-35
204,1004327,Payne,P00153842,Female,36-45,37,Karnataka,Southern,IT Sector,Footwear & Shoes,4,20525,Yes,36-45
205,1004335,Aryan,P00075542,Female,36-45,38,Karnataka,Southern,Healthcare,Footwear & Shoes,4,20912,No,36-45
206,1000280,Kajal,P00216042,Female,51-55,55,Delhi,Central,Hospitality,Footwear & Shoes,2,20908,No,51-55
207,1001835,Jamie,P00304942,Female,26-35,34,Delhi,Central,Chemical,Footwear & Shoes,4,20516,Yes,26-35
208,1003311,Neola,P00142742,Female,26-35,26,Karnataka,Southern,Hospitality,Footwear & Shoes,1,20908,Yes,26-35
209,1003475,Cousins,P00227942,Male,26-35,29,Andhra Pradesh,Southern,IT Sector,Footwear & Shoes,4,20515,Yes,26-35
210,1001613,Eva,P00173342,Female,18-25,23,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,1,20512,Yes,18-25
211,1004161,Murray,P00345642,Female,46-50,46,Karnataka,Southern,Retail,Footwear & Shoes,4,20906,No,46-50
212,1004285,Bhishm,P00315842,Male,36-45,38,Uttar Pradesh,Central,Food Processing,Footwear & Shoes,3,20900,No,36-45
213,1005680,Mary,P00277642,Female,51-55,51,Delhi,Central,Food Processing,Footwear & Shoes,1,20511,Yes,51-55
214,1000445,Sukruta,P00114042,Female,46-50,47,Delhi,Central,Retail,Footwear & Shoes,1,20896,No,46-50
215,1004979,Kennedy,P00346042,Female,36-45,39,Karnataka,Southern,Media,Footwear & Shoes,1,20509,Yes,36-45
216,1004819,Swetha,P00269642,Female,36-45,41,Delhi,Central,Automobile,Footwear & Shoes,1,20508,Yes,36-45
217,1003265,Arti,P00184942,Female,26-35,35,Uttar Pradesh,Central,Food Processing,Stationery,1,20883,No,26-35
218,1003396,Akshay,P00178242,Female,26-35,31,Delhi,Central,Textile,Footwear & Shoes,4,20875,Yes,26-35
219,1003580,Maxwell,P00018042,Male,18-25,20,Telangana,Southern,Healthcare,Footwear & Shoes,1,20508,Yes,18-25
220,1001861,Eno,P00295842,Female,51-55,52,Uttar Pradesh,Central,Aviation,Footwear & Shoes,2,20508,No,51-55
221,1002380,Swati,P00124642,Female,26-35,26,Delhi,Central,IT Sector,Footwear & Shoes,2,20874,Yes,26-35
222,1002059,Mathew,P00114142,Female,36-45,41,Karnataka,Southern,IT Sector,Footwear & Shoes,1,20874,No,36-45
223,1001618,Eugene,P00109742,Male,51-55,53,Andhra Pradesh,Southern,Food Processing,Footwear & Shoes,4,20505,No,51-55
224,1001335,Kushal,P00108942,Female,36-45,42,Delhi,Central,IT Sector,Footwear & Shoes,1,20873,No,36-45
225,1002330,Sumeet,P00129842,Female,46-50,48,Delhi,Central,Aviation,Footwear & Shoes,4,20503,No,46-50
226,1004013,Michelle,P00182242,Female,26-35,31,Karnataka,Southern,Chemical,Footwear & Shoes,2,20502,Yes,26-35
227,1004838,Luxemburg,P00062842,Female,46-50,49,Delhi,Central,Lawyer,Footwear & Shoes,3,20870,No,46-50
228,1001015,Bharat,P00289942,Female,36-45,44,Delhi,Central,Chemical,Stationery,2,20867,No,36-45
229,1005178,Edelman,P00346142,Female,51-55,55,Karnataka,Southern,Healthcare,Footwear & Shoes,3,20502,No,51-55
230,1001162,Rose,P00057742,Male,36-45,40,Karnataka,Southern,Banking,Footwear & Shoes,4,20501,Yes,36-45
231,1000549,Sharda,P00113542,Female,26-35,31,Karnataka,Southern,IT Sector,Footwear & Shoes,2,20865,No,26-35
232,1001954,Steele,P00294542,Male,26-35,31,Jharkhand,Eastern,IT Sector,Footwear & Shoes,3,20863,Yes,26-35
